,City ID,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
124,1685925,Sogod,63,PH,1658710803,67,10.3847,124.9814,86.72,3.71
125,2180815,Tuatapere,64,NZ,1658710804,75,-46.1333,167.6833,45.64,3.65
126,6185377,Yellowknife,75,CA,1658710762,88,62.456,-114.3525,61.32,10.36
127,2309528,Luba,97,GQ,1658710804,84,3.4568,8.5547,75.49,7.58
128,3663529,Manacapuru,90,BR,1658710806,66,-3.2997,-60.6206,81.52,4.14
129,1650527,Balikpapan,40,ID,1658710806,94,-1.2675,116.8289,77.99,9.22
130,2163355,Hobart,75,AU,1658710723,95,-42.8794,147.3294,53.26,5.75
131,5855927,Hilo,93,US,1658710514,76,19.7297,-155.09,84.27,4.0
132,145531,Saurimo,13,AO,1658710807,36,-9.6608,20.3916,60.31,4.61
133,1490256,Talnakh,96,RU,1658710775,71,69.4865,88.3972,56.21,27.29
134,3883457,Lebu,100,CL,1658710775,92,-37.6167,-73.65,53.42,13.76
135,1800163,Nanchang,0,CN,1658710806,58,28.6833,115.8833,92.05,3.51
136,546105,Nikolskoye,72,RU,1658710762,97,59.7035,30.7861,62.49,3.44
137,5563839,Fortuna,26,US,1658710808,74,40.5982,-124.1573,64.92,7.0
138,2123814,Leningradskiy,100,RU,1658710800,94,69.3833,178.4167,35.11,4.14
139,117656,Salmās,0,IR,1658710808,84,38.1973,44.7653,59.14,3.96
140,3421319,Nuuk,100,GL,1658710809,92,64.1835,-51.7216,42.01,9.06
141,2025256,Chumikan,100,RU,1658710810,97,54.7183,135.315,56.5,8.46
142,292968,Abu Dhabi,0,AE,1658710638,80,24.4667,54.3667,93.31,2.3
143,5767918,Pierre,56,US,1658710810,46,44.3683,-100.351,82.85,7.0
144,1235846,Matara,100,LK,1658710811,85,5.9485,80.5353,78.46,13.49
145,286621,Salalah,100,OM,1658710811,95,17.0151,54.0924,75.51,7.54
146,6620339,Karratha,0,AU,1658710812,34,-20.7377,116.8463,67.21,24.61
147,3402429,Caucaia,40,BR,1658710812,75,-3.7361,-38.6531,80.55,14.97
148,2171099,Codrington,100,AU,1658710813,91,-38.2667,141.9667,54.19,17.47
149,2070998,Geraldton,0,AU,1658710807,81,-28.7667,114.6,48.61,14.97
150,934322,Mahébourg,59,MU,1658710755,74,-20.4081,57.7,64.26,7.11
151,3423146,Ilulissat,97,GL,1658710813,95,69.2167,-51.1,37.67,2.19
152,2013465,Verkhoyansk,2,RU,1658710814,56,67.5447,133.385,71.38,1.86
153,4016086,Calvillo,100,MX,1658710814,66,21.85,-102.7167,68.5,3.87
154,1861084,Izumo,89,JP,1658710814,75,35.3667,132.7667,81.5,4.56
155,2122090,Pevek,90,RU,1658710814,88,69.7008,170.3133,35.91,2.89
156,1215502,Banda Aceh,100,ID,1658710815,82,5.5577,95.3222,79.25,9.33
157,3557758,Guane,75,CU,1658710815,72,22.2025,-84.0875,80.24,4.36
158,3393692,Itarema,100,BR,1658710816,77,-2.9248,-39.9167,79.38,15.73
159,1516589,Zhezkazgan,0,KZ,1658710816,34,47.8043,67.7144,64.38,11.18
160,2122605,Okhotsk,100,RU,1658710816,92,59.3833,143.3,54.59,10.92
161,974719,Molteno,6,ZA,1658710816,88,-31.3968,26.3625,32.99,5.93
162,2965761,Carndonagh,100,IE,1658710817,97,55.25,-7.2667,57.63,10.94
163,2126710,Beringovskiy,100,RU,1658710817,76,63.05,179.3167,45.41,13.2
164,4726521,San Patricio,0,US,1658710772,62,28.017,-97.5169,88.52,16.55
165,1272140,Dwārka,97,IN,1658710818,84,22.2394,68.9678,81.59,22.5
166,60019,Eyl,12,SO,1658710818,74,7.9803,49.8164,75.88,21.23
167,2294915,Takoradze,86,GH,1658710819,88,4.8845,-1.7554,73.11,7.61
168,4508204,Centerville,40,US,1658710534,83,39.6284,-84.1594,82.45,9.22
169,2110227,Butaritari,20,KI,1658710734,73,3.0707,172.7902,82.63,20.74
170,1849154,Ushibukamachi,15,JP,1658710819,86,32.1906,130.0228,82.08,5.21
171,2214846,Misratah,0,LY,1658710819,65,32.3754,15.0925,81.03,8.93
172,3421765,Nanortalik,100,GL,1658710820,82,60.1432,-45.2371,46.83,1.95
173,6173220,Valleyview,100,CA,1658710820,53,55.0667,-117.2859,67.06,7.85
174,2381972,Adrar,5,MR,1658710820,7,20.5022,-10.0711,95.61,10.13
175,5294810,Flagstaff,20,US,1658710587,70,35.1981,-111.6513,82.06,11.5
176,3424607,Tasiilaq,86,GL,1658710821,87,65.6145,-37.6368,41.16,4.27
177,1056899,Sambava,1,MG,1658710821,86,-14.2667,50.1667,66.78,9.26
178,1513087,Nurota,0,UZ,1658710821,30,40.5614,65.6886,81.43,4.7
179,1859964,Kaseda-shirakame,13,JP,1658710822,80,31.4167,130.3167,83.79,3.6
180,248843,Jāwā,0,JO,1658710822,53,31.8525,35.9393,67.17,5.59
181,107304,Buraidah,94,SA,1658710822,17,26.326,43.975,86.4,6.93
182,640276,Raahe,100,FI,1658710823,71,64.6833,24.4833,51.89,4.85
183,2800321,Chiny,0,BE,1658710823,60,49.7333,5.3333,70.34,3.4
184,1636426,Manggar,47,ID,1658710823,79,-2.8833,108.2667,81.82,14.61
185,5882953,Aklavik,19,CA,1658710823,50,68.2191,-135.0107,62.44,5.17
186,3361934,Saldanha,0,ZA,1658710824,63,-33.0117,17.9442,50.92,9.55
187,2139521,Noumea,45,NC,1658710824,99,-22.2763,166.4572,76.98,9.28
188,1512223,Abalak,96,RU,1658710824,75,58.1286,68.5944,58.55,5.39
189,167357,Manbij,0,SY,1658710825,29,36.5281,37.9549,74.17,14.05
190,1685422,Sulangan,75,PH,1658710825,72,11.1373,123.7228,83.64,3.91
191,5101405,Morris,40,US,1658710825,57,40.8334,-74.5329,90.16,5.75
192,1633419,Padang,100,ID,1658710794,95,-0.9492,100.3543,75.25,3.71
